date,open,high,low,close,volume
2019-01-02,154.20,157.10,152.80,155.60,12450000
2019-02-01,155.80,159.40,154.20,158.90,11800000
2019-03-01,159.10,161.80,156.50,157.30,13200000
2019-04-01,157.50,160.20,155.10,158.70,10900000
2019-05-01,158.90,162.30,157.40,160.80,14100000
2019-06-03,161.00,164.20,159.30,163.50,12600000
2019-07-01,163.80,168.40,162.10,167.90,15300000
2019-08-01,168.20,171.50,165.70,169.80,14700000
2019-09-02,170.10,173.60,168.40,172.30,13900000
2019-10-01,172.60,176.20,170.80,174.90,16100000
2019-11-01,175.20,178.40,172.50,176.80,15400000
2019-12-02,177.10,180.60,174.20,178.90,16800000
2020-01-01,179.40,182.80,176.50,180.70,17200000
2020-02-03,181.20,184.50,178.40,182.60,16500000
2020-03-02,183.10,185.20,168.30,171.40,24500000
2020-04-01,172.00,178.50,169.20,176.80,22100000
2020-05-04,177.20,181.60,173.40,179.90,19800000
2020-06-01,180.30,184.70,177.80,182.50,18600000
2020-07-01,183.00,187.40,180.20,185.90,19200000
2020-08-03,186.20,190.10,182.70,188.60,17500000
2020-09-01,189.00,192.80,185.40,190.70,18300000
2020-10-01,191.20,194.60,187.50,192.80,17600000
2020-11-02,193.10,197.20,190.80,195.60,18900000
2020-12-01,196.00,199.40,193.20,197.80,18100000
2021-01-01,198.20,202.50,195.60,200.90,19400000
2021-02-01,201.30,205.80,198.70,203.70,18800000
2021-03-01,204.10,208.20,201.50,206.80,20100000
2021-04-01,207.20,211.40,204.60,209.70,19500000
2021-05-03,210.10,214.80,207.50,212.90,20700000
2021-06-01,213.30,217.50,210.20,215.60,21200000
2021-07-01,216.20,220.40,212.80,218.90,21800000
2021-08-02,219.50,223.70,216.30,221.40,20500000
2021-09-01,222.10,226.50,218.70,224.80,21900000
2021-10-01,225.20,229.40,221.80,227.60,21100000
2021-11-01,228.00,232.60,224.30,230.90,22400000
2021-12-01,231.20,235.40,227.50,233.80,21700000
2022-01-03,234.10,238.50,230.60,236.70,22900000
2022-02-01,237.00,241.30,233.20,239.40,21800000
2022-03-01,240.20,244.80,236.40,242.70,23600000
2022-04-01,243.10,247.50,239.20,245.30,23100000
2022-05-02,246.00,250.40,242.10,248.70,24500000
2022-06-01,249.20,253.60,245.30,251.80,23800000
2022-07-01,252.30,256.50,248.70,254.20,25200000
2022-08-01,255.10,259.80,251.40,257.60,24700000
2022-09-01,258.20,262.40,254.60,260.10,23900000
2022-10-03,261.00,265.50,257.20,263.80,26100000
2022-11-01,264.20,268.70,260.50,266.90,25400000
2022-12-01,267.30,271.40,263.80,269.70,24800000
2023-01-02,270.20,274.60,266.30,272.80,26800000
2023-02-01,273.10,277.50,269.40,275.60,25900000
2023-03-01,276.20,280.80,272.50,278.90,27400000
2023-04-03,279.40,283.70,275.80,281.60,26600000
2023-05-01,282.20,286.50,278.30,284.90,28100000
2023-06-01,285.10,289.40,281.20,287.70,27300000
2023-07-03,288.00,292.60,284.50,290.80,28700000
2023-08-01,291.20,295.40,287.30,293.60,27900000
2023-09-01,294.10,298.70,290.20,296.90,29100000
2023-10-02,297.30,301.50,293.40,299.80,28300000
2023-11-01,300.20,304.80,296.50,302.70,29500000
2023-12-01,303.10,307.40,299.20,305.60,28800000
2024-01-01,306.20,310.80,302.40,308.90,30100000
2024-02-01,309.40,313.50,305.30,311.70,29400000
2024-03-01,312.20,316.60,308.50,314.80,30700000
2024-04-01,315.10,319.40,311.20,317.90,29800000
2024-05-01,318.20,322.80,314.50,320.60,31500000
2024-06-03,321.10,325.50,317.30,323.90,30900000
2024-07-01,324.20,328.60,320.40,326.80,32100000
2024-08-01,327.10,331.50,323.30,329.70,31300000
2024-09-02,330.20,334.80,326.50,332.90,32700000
2024-10-01,333.10,337.60,329.40,335.80,31900000
2024-11-01,336.20,340.50,332.30,338.70,33400000
2024-12-02,339.10,343.80,335.50,341.60,32600000
2025-01-01,342.20,346.50,338.30,344.80,35100000
2025-02-03,345.10,349.70,341.40,347.60,34300000
2025-03-03,348.20,352.60,344.50,350.90,35800000
2025-04-01,351.10,355.40,347.20,353.70,34900000
2025-05-01,354.20,358.80,350.40,356.90,36500000
2025-06-02,357.10,361.50,353.30,359.80,35700000
2025-07-01,360.20,364.60,356.50,362.70,37200000
2025-08-01,363.10,367.50,359.40,365.90,36400000
2025-09-01,366.20,370.80,362.50,368.70,38100000
2025-10-01,369.10,373.40,365.20,371.60,37300000
2025-11-03,372.20,376.50,368.40,374.80,38900000
2025-12-01,375.10,379.80,371.50,377.60,39600000
